market,Corp Code,Category,Corp Name,URL,,
 JASDAQスタンダード ,1782,建設 ,常磐開発,http://www.jobankaihatsu.co.jp/,,
 JASDAQスタンダード ,1783,建設 ,アジアゲートホールディングス,http://www.asiagateholdings.jp/,,
 JASDAQスタンダード ,1787,建設 ,ナカボーテック,http://www.nakabohtec.co.jp/,,
 JASDAQスタンダード ,1788,建設 ,三東工業社,http://www.santo.co.jp/,,
 JASDAQスタンダード ,1789,建設 ,山加電業,http://yamaka.co.jp/index.php,,
 JASDAQスタンダード ,1793,建設 ,大本組,http://www.ohmoto.co.jp/,,
 JASDAQスタンダード ,1795,建設 ,マサル,http://www.masaru-co.jp/,,
 JASDAQスタンダード ,1798,建設 ,守谷商会,http://www.moriya-s.co.jp/,,
 JASDAQスタンダード ,1799,建設 ,第一建設工業,http://www.daiichi-kensetsu.co.jp/,,
" 東証一部,名証一部 ",1801,建設 ,大成建設,http://www.taisei.co.jp/,,
" 東証一部,福証 ",1802,建設 ,大林組,http://www.obayashi.co.jp/,,
" 東証一部,名証一部 ",1803,建設 ,清水建設,http://www.shimz.co.jp/,,
 東証一部 ,1805,建設 ,飛島建設,http://www.tobishima.co.jp/,,
 JASDAQスタンダード ,1807,建設 ,佐藤渡辺,http://www.watanabesato.co.jp/,,
 東証一部 ,1808,建設 ,長谷工コーポレーション,http://www.haseko.co.jp/,,
 東証一部 ,1810,建設 ,松井建設,http://www.matsui-ken.co.jp/,,
 東証一部 ,1811,建設 ,錢高組,http://www.zenitaka.co.jp/,,
" 東証一部,名証一部 ",1812,建設 ,鹿島建設,http://www.kajima.co.jp/,,
 東証一部 ,1813,建設 ,不動テトラ,http://www.fudotetra.co.jp/,,
 東証一部 ,1814,建設 ,大末建設,http://www.daisue.co.jp/,,
 東証一部 ,1815,建設 ,鉄建建設,http://www.tekken.co.jp/,,
 東証一部 ,1820,建設 ,西松建設,http://www.nishimatsu.co.jp/,,
 東証一部 ,1821,建設 ,三井住友建設,http://www.smcon.co.jp/,,
 東証一部 ,1822,建設 ,大豊建設,http://www.daiho.co.jp/,,
 東証一部 ,1824,建設 ,前田建設工業,http://www.maeda.co.jp/,,
 東証一部 ,1826,建設 ,佐田建設,http://www.satakensetsu.co.jp/index.php,,
 東証一部 ,1827,建設 ,ナカノフドー建設,http://www.wave-nakano.co.jp/,,
 東証二部 ,1828,建設 ,田辺工業,http://www.tanabe-ind.co.jp/,,
 札証 ,1832,建設 ,北海電気工事,http://www.hokkaidenki.co.jp/,,
 東証一部 ,1833,建設 ,奥村組,http://www.okumuragumi.co.jp/,,
 東証一部 ,1835,建設 ,東鉄工業,http://www.totetsu.co.jp/,,
" 東証二部,札証 ",1840,建設 ,土屋ホールディングス,http://www.tsuchiya.co.jp/,,
 JASDAQスタンダード ,1841,建設 ,サンユー建設,http://www.sanyu-co.co.jp/,,
 東証二部 ,1844,建設 ,大盛工業,http://www.ohmori.co.jp/,,
 東証二部 ,1846,建設 ,鈴縫工業,http://www.suzunui.co.jp/,,
 東証一部 ,1847,建設 ,イチケン,https://www.ichiken.co.jp/index.php,,
" 東証二部,福証 ",1848,建設 ,富士ピー・エス,http://www.fujips.co.jp/,,
 東証二部 ,1850,建設 ,南海辰村建設,http://www.nantatsu.co.jp/,,
 東証一部 ,1852,建設 ,淺沼組,http://www.asanuma.co.jp/,,
 東証二部 ,1853,建設 ,森組,http://www.morigumi.co.jp/,,
 東証一部 ,1860,建設 ,戸田建設,http://www.toda.co.jp/,,
 東証一部 ,1861,建設 ,熊谷組,http://www.kumagaigumi.co.jp/,,
 東証一部 ,1865,建設 ,青木あすなろ建設,http://www.aaconst.co.jp/,,
 東証一部 ,1866,建設 ,北野建設,http://www.kitano.co.jp/,,
 東証一部 ,1867,建設 ,植木組,http://www.uekigumi.co.jp/,,
 東証一部 ,1868,建設 ,三井ホーム,http://www.mitsuihome.co.jp/,,
 名証二部 ,1869,建設 ,名工建設,http://www.meikokensetsu.co.jp/,,
" 東証一部,名証一部 ",1870,建設 ,矢作建設工業,http://www.yahagi.co.jp/,,
 東証一部 ,1871,建設 ,ピーエス三菱,http://www.psmic.co.jp/,,
 東証一部 ,1873,建設 ,日本ハウスホールディングス,http://www.nihonhouse-hd.co.jp/,,
" 東証一部,名証一部 ",1878,建設 ,大東建託,http://www.kentaku.co.jp/,,
 東証一部 ,1879,建設 ,新日本建設,http://www.shinnihon-c.co.jp/,,
" 東証一部,札証 ",1881,建設 ,ＮＩＰＰＯ,http://www.nippo-c.co.jp/,,
 東証一部 ,1882,建設 ,東亜道路工業,http://www.toadoro.co.jp/,,
 東証一部 ,1883,建設 ,前田道路,http://www.maedaroad.co.jp/,,
 東証一部 ,1884,建設 ,日本道路,http://www.nipponroad.co.jp/,,
" 東証一部,札証 ",1885,建設 ,東亜建設工業,http://www.toa-const.co.jp/,,
 東証一部 ,1888,建設 ,若築建設,http://www.wakachiku.co.jp/,,
 東証一部 ,1890,建設 ,東洋建設,http://www.toyo-const.co.jp/index.php,,
 名証二部 ,1892,建設 ,徳倉建設,http://www.tokura.co.jp/,,
" 東証一部,名証一部 ",1893,建設 ,五洋建設,http://www.penta-ocean.co.jp/,,
 東証一部 ,1896,建設 ,大林道路,http://www.obayashi-road.co.jp/,,
 東証二部 ,1897,建設 ,金下建設,http://www.kaneshita.co.jp/,,
 東証一部 ,1898,建設 ,世紀東急工業,http://www.seikitokyu.co.jp/,,
 東証一部 ,1899,建設 ,福田組,http://www.fkd.co.jp/,,
 JASDAQスタンダード ,1904,建設 ,大成温調,http://www.taisei-oncho.co.jp/,,
 JASDAQスタンダード ,1905,建設 ,テノックス,http://www.tenox.co.jp/,,
 JASDAQスタンダード ,1906,建設 ,細田工務店,http://www.hosoda.co.jp/,,
 東証一部 ,1909,機械 ,日本ドライケミカル,http://www.ndc-group.co.jp/,,
 東証一部 ,1911,建設 ,住友林業,http://www.sfc.jp/,,
 東証一部 ,1914,建設 ,日本基礎技術,http://www.jafec.co.jp/,,
 東証一部 ,1916,建設 ,日成ビルド工業,http://www.nisseibuild.co.jp/,,
 東証一部 ,1919,建設 ,ヤマダ・エスバイエルホーム,http://www.sxl.co.jp/,,
" 東証一部,札証 ",1921,建設 ,巴コーポレーション,http://www.tomoe-corporation.co.jp/,,
 東証一部 ,1924,建設 ,パナホーム,http://www.panahome.jp/,,
 東証一部 ,1925,建設 ,大和ハウス工業,http://www.daiwahouse.co.jp/,,
 東証一部 ,1926,建設 ,ライト工業,http://www.raito.co.jp/,,
" 東証一部,名証一部 ",1928,建設 ,積水ハウス,http://www.sekisuihouse.co.jp/,,
 東証一部 ,1929,建設 ,日特建設,http://www.nittoc.co.jp/,,
 東証一部 ,1930,建設 ,北陸電気工事,http://www.rikudenko.co.jp/,,
 東証二部 ,1931,建設 ,日本電通,http://www.ndknet.co.jp/,,
" 東証二部,福証 ",1933,建設 ,ＳＹＳＫＥＮ,http://www.sysken.co.jp/,,
 東証一部 ,1934,建設 ,ユアテック,http://www.yurtec.co.jp/,,
 東証二部 ,1935,建設 ,ＴＴＫ,http://www.ttk-g.co.jp/,,
 名証一部 ,1936,建設 ,シーキューブ,http://www.c-cube-g.co.jp/,,
" 東証一部,福証 ",1937,建設 ,西部電気工業,http://www.seibu-denki.co.jp/,,
 東証二部 ,1938,建設 ,日本リーテック,http://www.j-rietec.co.jp/,,
 東証一部 ,1939,建設 ,四電工,http://www.yondenko.co.jp/,,
 東証一部 ,1941,建設 ,中電工,http://www.chudenko.co.jp/,,
 東証一部 ,1942,建設 ,関電工,http://www.kandenko.co.jp/,,
 東証一部 ,1944,建設 ,きんでん,http://www.kinden.co.jp/,,
 東証一部 ,1945,建設 ,東京エネシス,http://www.qtes.co.jp/,,
" 東証一部,名証一部 ",1946,建設 ,トーエネック,http://www.toenec.co.jp/,,
