No,大項目,中項目,小項目
516,クリエイティブ,映像・映画・音響・イベント・芸能関連,芸能マネジャー
517,クリエイティブ,ファッション（アパレル／アクセサリー／テキスタイル）,服飾デザイナー・パタンナー・スタイリスト
518,クリエイティブ,ファッション（アパレル／アクセサリー／テキスタイル）,VMD
519,クリエイティブ,ファッション（アパレル／アクセサリー／テキスタイル）,その他ファッション（アパレル・アクセサリー・テキスタイル）
520,クリエイティブ,プロダクトデザイナー／インダストリアルデザイナー（工業デザイナー）,プロダクトデザイナー・インダストリアルデザイナー（工業デザイナー）
521,クリエイティブ,その他クリエイティブ系職種,その他クリエイティブ職
522,クリエイティブ,Web・モバイル・ソーシャル・ゲーム制作／開発,Webプロデューサー・Webディレクター・Webプランナー
523,クリエイティブ,Web・モバイル・ソーシャル・ゲーム制作／開発,アートディレクター
524,クリエイティブ,Web・モバイル・ソーシャル・ゲーム制作／開発,Webデザイナー
525,クリエイティブ,Web・モバイル・ソーシャル・ゲーム制作／開発,マークアップエンジニア・コーダー・フロントエンドエンジニア（Web・モバイル）
526,クリエイティブ,Web・モバイル・ソーシャル・ゲーム制作／開発,Web編集・Webライター
527,クリエイティブ,Web・モバイル・ソーシャル・ゲーム制作／開発,UI・UXデザイナー
528,クリエイティブ,Web・モバイル・ソーシャル・ゲーム制作／開発,アシスタントディレクター・制作進行管理
529,クリエイティブ,ゲーム（制作・開発）,ゲームプロデューサー・ディレクター・プランナー
530,クリエイティブ,ゲーム（制作・開発）,アートディレクター
531,クリエイティブ,ゲーム（制作・開発）,UI・UXデザイナー
532,クリエイティブ,ゲーム（制作・開発）,ゲームデザイナー・イラストレーター
533,クリエイティブ,ゲーム（制作・開発）,CGデザイナー
534,クリエイティブ,ゲーム（制作・開発）,マークアップエンジニア・コーダー・フロントエンドエンジニア（ゲーム）
535,クリエイティブ,ゲーム（制作・開発）,ゲームプログラマ
536,クリエイティブ,ゲーム（制作・開発）,サウンドクリエイター
537,クリエイティブ,ゲーム（制作・開発）,デバック
